,title,video_id,Published At,Keyword,Likes,Comments,Views
0,Apple Pay Is Killing the Physical Wallet After Only Eight Years | Tech News Briefing Podcast | WSJ,wAZZ-UWGVHI,23-08-2022,tech,3407.0,672.0,135612.0
1,The most EXPENSIVE thing I own.,b3x28s61q3c,24-08-2022,tech,76779.0,4306.0,1758063.0
2,My New House Gaming Setup is SICK!,4mgePWWCAmA,23-08-2022,tech,63825.0,3338.0,1564007.0
3,Petrol Vs Liquid Nitrogen | Freezing Experiment | പെട്രോളിനെ ഐസ് ആകാൻ പറ്റുമോ | M4 Tech |,kXiYSI7H2b0,23-08-2022,tech,71566.0,1426.0,922918.0
4,Best Back to School Tech 2022!,ErMwWXQxHp0,08-08-2022,tech,96513.0,5155.0,1855644.0
5,Brewmaster Answers Beer Questions From Twitter | Tech Support | WIRED,18fwz9Itbvo,05-11-2021,tech,33570.0,1643.0,943119.0
6,Tech Monopolies: Last Week Tonight with John Oliver (HBO),jXf04bhcjbg,13-06-2022,tech,135047.0,9367.0,5937790.0
7,I bought the STRANGEST TECH on the Internet.,2TqOmtTAMRY,07-08-2022,tech,216935.0,12605.0,4782514.0
8,15 Emerging Technologies that Will Change the World,wLlL46pYcg4,08-12-2021,tech,45565.0,2882.0,7001236.0
9,Toxicologist Answers More Poison Questions From Twitter | Tech Support | WIRED,R7qsau3X6Ks,14-07-2022,tech,24252.0,1068.0,667767.0
10,Dope Tech: The Most Extreme Gaming Monitor!,MEiq0oCUb_8,15-08-2022,tech,118001.0,4123.0,2359142.0
11,Cool Tech Under $50 - August!,pT_9hntWj34,06-08-2022,tech,20999.0,3091.0,413179.0
12,Cool Back to School Tech 2022 🔥 (Under $100),cj4lxmHQV0o,13-08-2022,tech,15322.0,547.0,389114.0
13,Best Tech/EDC Gifts Under $50 for Father&#39;s Day! - Gift Guide 2022,d-BdIo8_wpA,15-12-2021,tech,17866.0,157.0,444953.0
14,My Massive Tech Unboxing 47.0!,eFhhW6fsAbQ,09-07-2022,tech,13217.0,442.0,371563.0
15,Why Millennials Are Leaving Six-Figure Tech Jobs,N88OE2ZCHBM,04-06-2021,tech,26890.0,4999.0,1633059.0
16,10 Coolest Gadgets and Inventions That Will Blow Your Mind,PKATJiyz0iI,13-08-2021,tech,9562.0,199.0,760249.0
17,17 Coolest Gadgets You Can Actually Buy,qiMnSaZWf3M,21-07-2022,tech,11743.0,143.0,1086568.0
18,Almost EVERYONE is Wasting Money on Dash Cams.,4AnyhHl3_tE,14-08-2022,tech,146978.0,11105.0,3186890.0
19,I bought the THINNEST Tech in the world.,nmY2kgWYwyQ,25-03-2022,tech,363771.0,13609.0,11422924.0
20,iPhone 14 Lineup is NOT what you Expected.. (plot twist),HMqyLcNmsec,24-08-2022,tech,2117.0,486.0,63650.0
21,Doctor Answers Gut Questions From Twitter | Tech Support | WIRED,Q2ysbTVlPdk,12-05-2022,tech,42841.0,1357.0,1280387.0
22,Cool Tech Under $50 - July!,zI8KQq5zmyM,02-07-2022,tech,23689.0,2842.0,530889.0
23,Wolfgang Puck Answers Restaurant Questions From Twitter | Tech Support | WIRED,iEAlq1GPgnc,18-06-2021,tech,55231.0,2175.0,2122433.0
24,Battle Of The Tech - Super Bike Vs World Superbike,IHnhSxizVOA,31-07-2022,tech,1289.0,183.0,35948.0
25,OnePlus 10R vs 10T | Unboxing &amp; Comparison,Ql1-RZ2FUrc,24-08-2022,tech,970.0,207.0,23175.0
26,Tech Hiring Slowdown: What’s Different This Time? | Tech News Briefing Podcast | WSJ,Fpof56HU6SY,10-08-2022,tech,1608.0,273.0,78520.0
27,10 New Tech Gadgets 2022 | You Can Buy Right Now,bbbQ_X45FaA,27-05-2022,tech,1452.0,38.0,63599.0
28,Taste Expert Answers Questions From Twitter | Tech Support | WIRED,MtMkU-1p7-0,03-06-2022,tech,35758.0,2056.0,1006704.0
29,Audiologist Answers Hearing Questions From Twitter | Tech Support | WIRED,QYlXL_8ei6g,19-08-2022,tech,8725.0,790.0,257848.0
30,James Dyson Answers Design Questions From Twitter | Tech Support | WIRED,zFCFe38EIfE,30-11-2021,tech,110145.0,3289.0,2954979.0
31,My Massive Tech Unboxing 46.0!,LOrkbagIpiY,28-05-2022,tech,12188.0,326.0,304037.0
32,Cool Tech Under $50 - April!,UK5OHUmIgcc,02-04-2022,tech,59458.0,4159.0,1541386.0
33,15 Emerging Technologies That Will Change Our World,My2Tr3k1liw,14-05-2022,tech,3494.0,136.0,589007.0
34,Veterinarian Answers Pet Questions From Twitter | Tech Support | WIRED,IUwqf08-FKU,05-05-2022,tech,36423.0,1902.0,1085076.0
35,What Is The Best Position For Descending? | GCN Tech Clinic,U48UrDpXGog,24-08-2022,tech,941.0,221.0,25594.0
36,My Everyday Tech: 2022!,-pTGc7cIBIA,07-01-2022,tech,134194.0,6102.0,4098623.0
37,INVENTIONS OF THE FUTURE THAT WILL SOON BE AVAILABLE TO EVERYONE,_f8Gb-vojoU,16-03-2022,tech,42075.0,1820.0,7188648.0
38,"Twitter Whistleblower Accuses Company of Privacy, Security Issues | Tech News Briefing Podcast | WSJ",MAeXrShneoQ,24-08-2022,tech,709.0,128.0,25745.0
39,"I Did a Terrible Job of This - Intel $5,000 Extreme Tech Upgrade",AREK4H8k7Ng,23-07-2022,tech,78852.0,3926.0,1889567.0
40,Cool Tech Under $50 - June!,B0HI0RTZdJw,04-06-2022,tech,32102.0,3243.0,786765.0
41,18 DEADLY Tech Fails that need to be BANNED.,Wuq7lS9rljw,02-07-2022,tech,188623.0,7464.0,4195072.0
42,I bought the BIGGEST Tech in the world.,VuG4BcghOSg,04-12-2021,tech,343227.0,20854.0,9618335.0
43,Neil Gaiman Answers Mythology Questions From Twitter | Tech Support | WIRED,o-jUQhCeazQ,04-08-2022,tech,43960.0,1767.0,791624.0
44,Sushi Chef Answers Sushi Questions From Twitter | Tech Support | WIRED,-ju6y-pHByw,26-05-2022,tech,77411.0,2098.0,2474364.0
45,Futurum Research&#39;s Daniel Newman breaks down tech stocks to watch,-VVLmBXHvL8,24-08-2022,tech,24.0,45.0,3461.0
46,My Favorite Tech of the Month!,UxjgqBamqDU,30-07-2022,tech,4492.0,169.0,274201.0
47,Paleontologist Answers Dinosaur Questions From Twitter | Tech Support | WIRED,YvZPU-KBCiQ,08-06-2022,tech,51846.0,2371.0,1156785.0
48,How Biden&#39;s student loan forgiveness program will work,--ixiTypG8g,24-08-2022,news,1029.0,2347.0,97434.0
49,Primary results in New York and Florida hold national implications for Democrats,4RkfqEWK2FI,24-08-2022,news,534.0,538.0,57858.0
50,Ex-CIA director predicts what&#39;s next in Russia-Ukraine war,GK8CFuXExLw,24-08-2022,news,8526.0,3934.0,544884.0
51,President Zelenskyy promises victory over Russia on Ukrainian Independence Day,95MMQzBkE30,24-08-2022,news,588.0,887.0,69951.0
52,"6 months later, what&#39;s next in the Ukraine war? l ABC News",nv7owOSprnI,24-08-2022,news,137.0,222.0,18531.0
53,More than 700 pages of classified documents found at Mar-a-Lago,rqbFOOt1q9M,24-08-2022,news,848.0,1384.0,86855.0
54,Nadler Celebrates Win In New York House Primary,_XFJpfSFcpU,24-08-2022,news,827.0,1653.0,131012.0
55,Biden Announces Plan For Federal Student Loan Debt Relief,fNHmQdrlIZE,24-08-2022,news,1200.0,2841.0,54596.0
56,Morning News NOW Full Broadcast - Aug. 23,zvS8Fmxv1_U,23-08-2022,news,1167.0,180.0,235019.0
57,Biden plans to forgive $300 billion in student loan debt: Report,OTFKyW-vc_Y,24-08-2022,news,1573.0,2670.0,60528.0
58,ABC News Live: Trump files motion to bar review of materials seized from Mar-a-Lago,IH3DYzS4MdI,23-08-2022,news,1145.0,793.0,106127.0
59,More than 100 classified Trump docs recovered from Mar-a-Lago in January,q7sXUpqA_X4,23-08-2022,news,474.0,1553.0,75301.0
60,"National Shutdown | Workers hit the streets over rising cost of living: Pretoria, GP",NS-9bd2hOOQ,24-08-2022,news,82.0,26.0,17145.0
61,JORNAL DA MANHÃ - 24/08/2022,0IH09JBETbI,24-08-2022,news,23828.0,47.0,500097.0
62,Trump legal team trying to stop Department of Justice from reviewing records seized from Mar-a-Lago,lX3EBSNjPII,23-08-2022,news,775.0,1517.0,127082.0
63,Netanyahu: This will make the Middle East a nuclear powder keg,Tey5qEth4oA,24-08-2022,news,8484.0,2192.0,237313.0
64,Nightly News Full Broadcast - Aug. 19,L5p4Nov0KkU,20-08-2022,news,7946.0,1559.0,905023.0
65,"Americans Are Angry And Worried About U.S. Future, New NBC News Poll Shows",MSTmUJU48g4,21-08-2022,news,510.0,560.0,34715.0
66,Breaking News: Jharkhand के CM Hemant Soren के करीबी पर ED ने कसी नकेल | Prem Prakash | Ranchi News,Sdm1WsGGU0w,24-08-2022,news,129.0,7.0,10642.0
67,Zee Hindustan Live News: Attack On Nitish Kumar Convoy | Bihar News | Tejashwi Yadav |Bihar Politics,XHKojSQxTs0,24-08-2022,news,1288.0,3.0,172513.0
68,【ライブ】最新ニュース：ウクライナ侵攻から半年/ロシア軍ミサイル攻撃の可能性/プーチン氏に近い思想家の娘 爆発死/サルVS山羊/渋谷ホテルで火災/母娘刺傷続報　など（日テレNEWSLIVE）,voU9-39bicg,24-08-2022,news,257.0,1.0,62189.0
69,අද දෙරණ 6.55 ප්‍රධාන පුවත් විකාශය -  2022.08.24| Ada Derana Prime Time News Bulletin,88w5Q03Lcro,24-08-2022,news,612.0,18.0,60835.0
70,"Najib ke penjara, Mahkamah Persekutuan kekal sabitan",B0ga0OUkb9c,23-08-2022,news,2385.0,1349.0,288722.0
71,Deadly car bomb detonates outside Moscow,--hxd1CrOqg,22-08-2022,news,6379.0,4853.0,808787.0
72,Jail for Najib as Federal Court upholds ex-PM’s conviction,o3TQPM5OkEU,23-08-2022,news,1009.0,451.0,127803.0
73,Potential mass shooting foiled in Washington state,lHDn25SLgdk,22-08-2022,news,5630.0,1848.0,533947.0
74,🔴 හිරු රාත්‍රී 6.55 ප්‍රධාන ප්‍රවෘත්ති ප්‍රකාශය - Hiru TV NEWS 6:55 PM Live | 2022-08-24,kSKxCN8M-WE,24-08-2022,news,686.0,18.0,56683.0
75,Nightly News Full Broadcast - Aug. 18,fHCk3o_5l7o,19-08-2022,news,7277.0,1294.0,796750.0
76,Morning News NOW Full Broadcast - Aug. 19,8NL6YyEW2ww,19-08-2022,news,695.0,121.0,159877.0
77,Ukraine&#39;s Crimean fightback having &#39;psychological impact&#39; on Russia - BBC News,uDSR4wV_zno,20-08-2022,news,15854.0,5373.0,1465011.0
78,"Dobol B TV Livestream: August 22, 2022 - Replay",f2TK2lpFFzs,22-08-2022,news,1030.0,10.0,187892.0
79,🔴 Live at 8 ප්‍රධාන ප්‍රවෘත්ති විකාශය - 2022-08-24,8Vqj8Ls29HI,24-08-2022,news,198.0,12.0,17763.0
80,Nightly News Full Broadcast - Aug. 17,uVmNImDu0rQ,18-08-2022,news,7342.0,1531.0,932432.0
81,UP News: कहा गायब हो गया Abbas Ansari ? 7 राज्यों में पुलिस की आधा दर्जन टीमें कर रही तलाश,_JGrWrwOoD8,23-08-2022,news,286.0,22.0,23135.0
82,Daughter of Russian ultra-nationalist killed in suspected car bomb attack,hPy7QFsTaLw,21-08-2022,news,2083.0,2195.0,164119.0
83,18 Million Under Flood Alerts Nationwide,s-XXxzZCkLg,21-08-2022,news,1728.0,665.0,212973.0
84,🔴 Live at 12 ප්‍රධාන ප්‍රවෘත්ති විකාශය - 2022-08-24,bLHeJmGUyWQ,24-08-2022,news,180.0,16.0,13976.0
85,"Inside the war in Ukraine, 6 months since Russia invaded",h4VjpOOWzZ0,21-08-2022,news,1102.0,668.0,106690.0
86,"T. Raja Singh News: T. Raja Singh को जमानत मिली, टी राजा ने दिया था विवादित बयान| Latest News",CBNHQyXOcjE,23-08-2022,news,1688.0,796.0,89985.0
87,Why Netflix is Now Making Video Games,Ccc0GvjuqkQ,23-08-2022,gaming,8384.0,1307.0,176151.0
89,ROBLOX ATHLETES TYCOON,wXjxEphvceM,24-08-2022,gaming,4163.0,618.0,133933.0
90,Naik Wahana Roller Coaster! - Runner Coaster,iRxsHyRJnnQ,24-08-2022,gaming,2925.0,121.0,99244.0
91,I OPENED MY OWN ARCADE SHOP,WBK2_lD7KGA,24-08-2022,gaming,298406.0,15609.0,3773387.0
92,[VOD 7] DU SANG ET DES CRÂNES ! Campagne légendaire Valkia sur Immortal Empire,RRaznaiwf9A,24-08-2022,gaming,549.0,29.0,16307.0
93,What in FORTNITE is DRAGON BALL Z?! (Quests) K-CITY GAMING,YeqhIN6Dg_U,22-08-2022,gaming,2170.0,282.0,126228.0
94,"Tonnenweise GANZ NEUE Games, Monkey Island 5 Release uvm. - Opening Night Live | gamescom 2022",4ndP7aEL48w,23-08-2022,gaming,1365.0,256.0,46436.0
95,Free Fire | Bất Ngờ Nhận FREE 900 Kim Cương Mua Đồ Cực Ngon - Garena Hứa Sẽ Sửa Vòng Quay Ma Thuật,aVYgohhJTwo,24-08-2022,gaming,3516.0,306.0,121644.0
96,10 Infuriating Ways Video Games Stopped You From Getting 100%,t3L2dLPzvrM,24-08-2022,gaming,2481.0,429.0,67444.0
97,Farming Simulator 22 #13 - Khi Xe Bán Tải Chở Quá Tải !!,UZFeOxoRe8g,24-08-2022,gaming,2501.0,193.0,84565.0
98,Secret Hidden Oven Entrance to Epic GAMING FORT!,PyUwWSrFy5E,20-08-2022,gaming,82449.0,2673.0,2007038.0
99,🔥Artistic Music Mix 2022: Top 50 Songs ♫ Best NCS Gaming Music ♫ Best Of EDM Remixes 2022,GiHBWPRybpw,24-08-2022,gaming,1243.0,21.0,5967.0
100,"Free Fire | We Got Level 1 Ghost Id 😨With 9999 Badges😍 Wasting 10,000 Diamonds 💎-Garena Free Fire",wRWhpXAMrLQ,24-08-2022,gaming,48710.0,3417.0,552256.0
101,gaming in the future,zJJ7JiG2Lvw,24-08-2022,gaming,29966.0,471.0,205943.0
102,The *DESTINY* Challenge in Fortnite!,f-vwWjR_3JY,24-08-2022,gaming,15842.0,1547.0,530763.0
103,7 Reasons The Gaming Industry Is Broken,gYvCj3EufhA,24-08-2022,gaming,3374.0,741.0,82874.0
104,GTA 5 CAN CHOP COMPLETE THIS INSANE IMPOSSIBLE STUNT RACE,0aSjii_bpUc,24-08-2022,gaming,8260.0,195.0,191777.0
105,🎧 FOLLOW ME ON LOCO | ACHANAK BAYANAK GAMING,-ymEXN_zeR4,24-08-2022,gaming,1525.0,36.0,14877.0
106,Finally Improved it ! Lenovo Ideapad Gaming 3 2022 |  i5 12th gen RTX 3050,i2tzQ0RUm6Q,24-08-2022,gaming,468.0,164.0,10351.0
107,NO STREAM FOR 3 DAYS | KYA AAJ 35 KILLS HONGE | GODL LoLzZz | BGMI LIVE,HN-EAqkxYLo,23-08-2022,gaming,18208.0,44.0,228095.0
108,🔴SHORT STREAM OR WHAT??😱| BGMI LIVE,514QAJMYHus,24-08-2022,gaming,3171.0,5.0,19693.0
109,GTA 5 ONLINE : RAMP BUGGY VS DRAUGUR (WHICH IS BEST OFF ROAD VEHICLE?),KO9XkCtJ8Ds,23-08-2022,gaming,1204.0,135.0,27564.0
110,Mylta Power Station Long drive &amp; Night Food Party Vlog | RON GAMING VLOGS,9BFPMqT4twI,23-08-2022,gaming,10556.0,466.0,66633.0
111,ASMR Gaming 😴 Fortnite Tryhard Squad Win! Relaxing Gum Chewing 🎮🎧 Controller Sounds 💤,fT3XZ_lrUp8,22-08-2022,gaming,869.0,155.0,22860.0
112,15 Graphically MIND-BLOWING Games of 2022,2MTmULlJIJE,18-01-2022,gaming,13492.0,707.0,879645.0
113,RP ගේ පේජ් එකට මොකද උනේ 😥 | අලුත් පේජ් එක | Rp gaming,meUhoYdG0rM,24-08-2022,gaming,358.0,23.0,2386.0
114,The FIRST 42-inch OLED Gaming Monitor - PG42UQ,f-OUonH08fo,23-08-2022,gaming,2677.0,485.0,65005.0
115,Gaming Memes Only True Gamers Understand 84 #Memes #shorts,i_n68sBUTow,23-08-2022,gaming,39872.0,187.0,246407.0
116,اصعب لعبة جوال تخليك تعصب ضحك وتحشيش,RnpJZLc7WtQ,22-08-2022,gaming,46642.0,1287.0,268946.0
117,"TOP 5 BEST GAMING PHONE UNDER 15,000/- RS FOR PUBG &amp; BGMI | GAMING PHONE UNDER 15k FOR PUBG &amp; BGMI",grQ_zwR1giM,24-08-2022,gaming,674.0,93.0,5931.0
118,Si SQUIDWARD At Si DREAM Nandito Sa ROBLOX BACKROOM MORPHS!!?,U2ammRwQ20Y,22-08-2022,gaming,3495.0,202.0,226258.0
119,New PS4 &amp; PS5 Games This Week,-my0r8QrgiQ,23-08-2022,gaming,789.0,77.0,19223.0
120,GTA 5 : WHO KIDNAPPED TREVOR | GTA 5 BANGLA GAMEPLAY #77 | GAMING FUN TIPS,qR12rWDMjls,24-08-2022,gaming,3273.0,472.0,31837.0
121,I CAUGHT KARL the Haunted Car in The Long Drive Mods?!,dC7EnOoJRrs,23-08-2022,gaming,4484.0,459.0,97946.0
122,This Budget Gaming Laptop Can’t Be Beat!,tN0O_MQkF10,22-08-2022,gaming,2700.0,279.0,70186.0
123,PlayStation 5 Review: Next Gen Gaming!,MepGo2xmVJw,14-11-2020,gaming,238193.0,14706.0,7132206.0
124,The Story of Super Mario World | Gaming Historian,s2bTQK6vbKI,06-05-2022,gaming,71905.0,6315.0,2381931.0
125,PESA HO TO KIA KUCH NAHI HO SAKTA | GTA 5 | SHADOW GAMING,pfwR_wD53wU,24-08-2022,gaming,9574.0,537.0,87891.0
126,Roblox - BẤT NGỜ KHI GAME NARUTO CÓ SỨC MẠNH TRÁI ÁC QUỶ HITO MODEL NIKA CỦA LUFFY - Shindo Life,dzptw7d8QI8,22-08-2022,gaming,1215.0,100.0,64958.0
127,Rich Gamer Vs Broke Gamer,hXKhM_taHJ4,23-08-2022,gaming,11797.0,519.0,364725.0
128,Music Mix 2022 🎧 EDM Remixes of Popular Songs 🎧 EDM Gaming Music Mix ​,gTUkevqZXKY,22-08-2022,gaming,2750.0,116.0,208701.0
129,ASMR Gaming 😴 Fortnite 1 Kill = 1 Trigger Relaxing Mouth Sounds 🎮🎧 Controller Sounds + Whispering 💤,mqc6QqoGNWI,24-08-2022,gaming,563.0,85.0,14537.0
